post_idx,target,stance,explanation
1,Immigration / immigrants,AGAINST,"[""The comment 'Stop feeding them.' explicitly expresses opposition to providing support for immigrants.""]"
2,Islam,AGAINST,"['Serving pork chops to Boko Haram terrorists, who are Muslim, could be seen as disrespectful to Islamic dietary laws, implying a negative stance towards Islam.']"
2,Terrorism,AGAINST,"['The comment suggests serving pork chops to starving terrorists, implying a negative stance towards terrorism.']"
2,Muslims,AGAINST,"['Serving pork chops to Boko Haram terrorists, who are Muslim, could be seen as disrespectful, implying a negative stance towards Muslims.']"
3,Trump,FAVOR,"[""The comment 'Good bye Home Depot.' implies support for the backlash against the employee's anti-Trump statement, suggesting a favorable stance towards Trump.""]"
4,Trump,FAVOR,"['The comment implies that the courts might not recognize threats against Trump supporters as real, suggesting support for Trump by highlighting a perceived double standard.']"
5,Immigration / immigrants,AGAINST,"['The comment suggests the individual did not assimilate, implying criticism of illegal immigration.']"
7,Hillary Clinton,AGAINST,"['The comment states that ex-military expats will not be voting for Clinton, indicating a negative stance towards her.']"
10,Trump,FAVOR,"[""The comment implies support for Trump by criticizing Jane Fonda's negative statement about him.""]"
11,Trump,AGAINST,"[""The comment refers to 'this guy' as being in the running for 'Chief Buffoon,' which is a negative label, indicating a stance against Trump.""]"
19,Trump,AGAINST,"[""The comment refers to 'He's a lush,' which is a negative label implying excessive drinking, directed at Trump.""]"
21,Democrats,AGAINST,"['The comment criticizes Truman, a Democrat, for stripping benefits, indicating a negative stance.']"
21,Social welfare,AGAINST,"['The comment discusses the denial of benefits, implying criticism of social welfare handling.']"
21,Government spending,AGAINST,"[""Criticism of the government's decision to strip benefits relates to spending decisions.""]"
22,Immigration / immigrants,AGAINST,"['The comment expresses opposition to amnesty for DACA recipients, indicating a negative stance towards immigration.']"
25,Democrats,FAVOR,"['The comment implies support for Democrats by suggesting another Democrat, Hank Johnson, might join the boycott.']"
25,Republicans (GOP),AGAINST,"[""The comment implies opposition by supporting a boycott of a Republican president's event.""]"
25,Trump,AGAINST,"[""The comment explicitly mentions boycotting Trump's State of the Union address.""]"
33,Terrorism,AGAINST,"['The comment suggests training asylum seekers as arsonists or sharpshooters, implying a negative and dangerous association, which relates to terrorism.']"
33,Immigration / immigrants,AGAINST,"['The comment suggests training asylum seekers as arsonists or sharpshooters, implying skepticism or opposition towards immigration.']"
33,Muslims,AGAINST,"['The comment suggests training asylum seekers as arsonists or sharpshooters, which could implicitly relate to Muslims given the context of asylum seekers from Muslim-majority countries.']"
