post_idx,target,stance,explanation
700162633,Democrats,FAVOR,"The comment mentions that 'liberals are moving in high numbers,' which implies support for Democrats."
700162633,Republicans (GOP),AGAINST,"The comment states that 'most of Orange County isn't as conservative as it used to be,' indicating a negative stance towards Republicans."
978198733,Immigration / immigrants,AGAINST,"The comment expresses opposition to illegal immigration and suggests strict conditions for temporary work permits, opposing citizenship for undocumented immigrants."
978198733,Mexicans,AGAINST,"The comment states that many Mexicans hate the U.S. and are only interested in earning dollars to take back to Mexico, which indicates a negative stance."
1062674649,Democrats,AGAINST,"The comment refers to Congresswoman Frederica Wilson, a Democrat, with a negative tone, indicating opposition."
1062674649,Black people,AGAINST,"The comment criticizes the black community for electing the Congresswoman, showing a negative stance."
1062674649,Nancy Pelosi,AGAINST,"The comment explicitly mentions Nancy Pelosi and criticizes her contributions, indicating opposition."
1062674649,Government spending,AGAINST,"The comment implies dissatisfaction with government officials' contributions, relating to government spending."
1213563404,Immigration / immigrants,AGAINST,"The comment explicitly expresses a negative stance towards immigrants, referring to them as 'illegals' and criticizing their use of emergency room services without payment, implying it's a burden on taxpayers."
1427617310,Obama,AGAINST,"The comment criticizes Obama for not stopping the invasion and suggests he wants to create chaos, indicating a negative stance."
1427617310,Immigration / immigrants,AGAINST,"The comment refers to an 'invasion' and suggests sending people back, showing opposition to immigration."
1427617310,Fake news,AGAINST,"The comment mentions 'corrupt media' being silent, indicating a negative view of the media."
1452368501,Obama,AGAINST,"The comment explicitly mentions Obama in a list of individuals who should 'get their share of their illegals,' indicating a negative stance."
1452368501,Democrats,AGAINST,"The comment refers to 'amnesty loving senators and congressmen,' which is a negative reference to Democrats."
1452368501,Republicans (GOP),AGAINST,"The comment lists Republican figures like McCain and McConnell, implying criticism."
1452368501,Immigration / immigrants,AGAINST,"The term 'illegals' is used negatively, indicating opposition to undocumented immigrants."
1452368501,Nancy Pelosi,AGAINST,Pelosi is listed among others the commenter criticizes.
1452368501,Valerie Jarrett,AGAINST,Jarrett is included in the list of criticized individuals.
1452368501,Rupert Murdoch,AGAINST,Murdoch is listed as part of the group the commenter is criticizing.
1452368501,Zuckerberg,AGAINST,Zuckerberg is included in the list of criticized individuals.
1452368501,Bloomberg,AGAINST,Bloomberg is listed among those the commenter criticizes.
1452368501,Buffett,AGAINST,Buffett is included in the list of criticized individuals.
1478185050,Immigration / immigrants,AGAINST,"The comment explicitly states 'SEND THEM HOME!!!', indicating a clear opposition to allowing immigrants to stay."
2423543776,Black people,AGAINST,"The comment associates Black Lives Matter (BLM) with a threatening agenda, implying opposition."
2423543776,Democrats,AGAINST,The term 'Socialist/ Communist Dems' reflects a negative view of Democrats.
2423543776,White people,FAVOR,"The comment expresses concern for the safety of white Americans, indicating support."
2465873254,Trump,FAVOR,"The comment explicitly states that Trump 'has the guts to call it like it is' and is 'not for sale,' indicating a favorable stance."
2465873254,Cruz,AGAINST,"The comment criticizes Cruz for not addressing the issue of deporting illegal immigrants, indicating an unfavorable stance."
2492682831,The press,AGAINST,"The comment implies a loss of freedom of speech, suggesting dissatisfaction with the current state of the press, indicating a stance against the press."
2541115546,Fox News,AGAINST,"The comment explicitly states that Fox News is not fair and balanced, indicating a negative stance."
2550134574,Republicans (GOP),AGAINST,"The comment uses the term 'GOPe hacks' and refers to them as 'evildoers,' indicating a clear negative stance towards the GOP establishment."
2574685977,Democrats,AGAINST,"The comment refers to 'left wing propaganda,' which is often associated with Democratic ideologies, indicating a negative stance."
2574685977,Black people,AGAINST,"The mention of 'community BLM activists' suggests a negative view towards Black Lives Matter and, by association, Black people."
2639119548,Christians,FAVOR,"The comment is advising evangelical voters to be cautious, indicating support for their well-being by warning against Cruz's deceit."
2683228781,Democrats,AGAINST,"The comment criticizes Democrats by implying that voters still support them despite perceived negative actions, showing a negative stance."
2683228781,Obama,AGAINST,"The mention of voters supporting Obama twice is within a context of criticism towards Democrats, indicating disapproval."
