target,stance,stance_type,comment_id,comment_date
Barack Obama,AGAINST,EXPLICIT,314582465,2011-09-18 23:38:13
Politicians,AGAINST,EXPLICIT,314582465,2011-09-18 23:38:13
Democrats,AGAINST,EXPLICIT,314582465,2011-09-18 23:38:13
Economy is good,AGAINST,EXPLICIT,314582465,2011-09-18 23:38:13
Republicans (GOP),AGAINST,EXPLICIT,314582465,2011-09-18 23:38:13
The government,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
America / USA,FAVOR,EXPLICIT,492151945,2012-04-09 14:12:27
Progressives,FAVOR,EXPLICIT,492151945,2012-04-09 14:12:27
Politicians,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
Social welfare,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
Elites,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
Military,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
Capitalism,AGAINST,EXPLICIT,492151945,2012-04-09 14:12:27
The government,AGAINST,EXPLICIT,383281137,2011-12-10 04:01:21
Social welfare,AGAINST,IMPLICIT,383281137,2011-12-10 04:01:21
Capitalism,AGAINST,EXPLICIT,383281137,2011-12-10 04:01:21
The government,AGAINST,IMPLICIT,316057620,2011-09-20 17:57:04
Economy is good,AGAINST,IMPLICIT,316057620,2011-09-20 17:57:04
Media,AGAINST,IMPLICIT,316057620,2011-09-20 17:57:04
Journalists,AGAINST,EXPLICIT,289191015,2011-08-17 12:48:50
The government,AGAINST,EXPLICIT,289191015,2011-08-17 12:48:50
Barack Obama,FAVOR,EXPLICIT,289191015,2011-08-17 12:48:50
Liberals,FAVOR,EXPLICIT,289191015,2011-08-17 12:48:50
Progressives,FAVOR,EXPLICIT,289191015,2011-08-17 12:48:50
Politicians,AGAINST,EXPLICIT,289191015,2011-08-17 12:48:50
Democrats,FAVOR,EXPLICIT,289191015,2011-08-17 12:48:50
Barack Obama,AGAINST,EXPLICIT,394414589,2011-12-26 15:02:16
America / USA,FAVOR,EXPLICIT,314897099,2011-09-19 12:56:58
Politicians,AGAINST,EXPLICIT,314897099,2011-09-19 12:56:58
Republicans (GOP),AGAINST,EXPLICIT,314897099,2011-09-19 12:56:58
The government,AGAINST,IMPLICIT,396877779,2011-12-29 22:45:11
Politicians,AGAINST,IMPLICIT,396877779,2011-12-29 22:45:11
Elites,AGAINST,IMPLICIT,396877779,2011-12-29 22:45:11
Capitalism,AGAINST,IMPLICIT,396877779,2011-12-29 22:45:11
Vegetarians / Vegans,FAVOR,EXPLICIT,304545483,2011-09-07 22:23:17
Fossil fuels,AGAINST,EXPLICIT,304545483,2011-09-07 22:23:17
America / USA,AGAINST,EXPLICIT,461838149,2012-03-11 01:47:57
Economy is good,FAVOR,EXPLICIT,410239298,2012-01-14 00:18:24
Taxes are (good | fair),FAVOR,EXPLICIT,410239298,2012-01-14 00:18:24
Barack Obama,AGAINST,EXPLICIT,398792036,2012-01-02 14:53:09
Republicans (GOP),AGAINST,EXPLICIT,328596551,2011-10-07 02:51:31
The government,AGAINST,EXPLICIT,439452741,2012-02-15 03:03:30
Barack Obama,FAVOR,IMPLICIT,439452741,2012-02-15 03:03:30
Fossil fuels,AGAINST,EXPLICIT,439452741,2012-02-15 03:03:30
Politicians,AGAINST,EXPLICIT,439452741,2012-02-15 03:03:30
Democrats,FAVOR,IMPLICIT,439452741,2012-02-15 03:03:30
Media,AGAINST,EXPLICIT,439452741,2012-02-15 03:03:30
Jobs are (available | good),FAVOR,EXPLICIT,439452741,2012-02-15 03:03:30
Republicans (GOP),FAVOR,IMPLICIT,439452741,2012-02-15 03:03:30
Abortion,FAVOR,EXPLICIT,439452741,2012-02-15 03:03:30
Capitalism,AGAINST,EXPLICIT,327374387,2011-10-05 19:34:43
America / USA,FAVOR,EXPLICIT,394475445,2011-12-26 17:36:23
Feminism,FAVOR,EXPLICIT,394475445,2011-12-26 17:36:23
Democrats,AGAINST,EXPLICIT,394475445,2011-12-26 17:36:23
Republicans (GOP),FAVOR,EXPLICIT,394475445,2011-12-26 17:36:23
Economy is good,FAVOR,EXPLICIT,316693076,2011-09-21 14:58:55
Taxes are (good | fair),AGAINST,EXPLICIT,316693076,2011-09-21 14:58:55
Jobs are (available | good),AGAINST,EXPLICIT,316693076,2011-09-21 14:58:55
Economy is good,AGAINST,EXPLICIT,363336445,2011-11-15 04:34:26
Capitalism,AGAINST,EXPLICIT,363336445,2011-11-15 04:34:26
Climate change is (real | a problem),FAVOR,EXPLICIT,454890367,2012-03-02 22:02:03
Fossil fuels,AGAINST,IMPLICIT,454890367,2012-03-02 22:02:03
Movies,AGAINST,EXPLICIT,454890367,2012-03-02 22:02:03
Food,FAVOR,EXPLICIT,454890367,2012-03-02 22:02:03
Media,AGAINST,EXPLICIT,454890367,2012-03-02 22:02:03
Capitalism,AGAINST,IMPLICIT,454890367,2012-03-02 22:02:03
Climate change is (real | a problem),FAVOR,EXPLICIT,309197416,2011-09-14 03:13:04
Scientists,FAVOR,EXPLICIT,309197416,2011-09-14 03:13:04
Conservatives,AGAINST,IMPLICIT,309197416,2011-09-14 03:13:04
