target,stance,stance_type,comment_id,comment_date
Hillary Clinton,AGAINST,EXPLICIT,1958315354,2015-04-11 00:35:02
Economy is good,AGAINST,IMPLICIT,972183820,2013-07-22 14:12:21
Democrats,AGAINST,EXPLICIT,1394380742,2014-05-19 21:42:38
Politicians,AGAINST,EXPLICIT,1394380742,2014-05-19 21:42:38
Democrats,AGAINST,EXPLICIT,1456401178,2014-06-27 00:21:29
Politicians,AGAINST,EXPLICIT,1456401178,2014-06-27 00:21:29
Politicians,AGAINST,EXPLICIT,562198263,2012-06-19 20:54:01
Democrats,AGAINST,IMPLICIT,562198263,2012-06-19 20:54:01
Media,FAVOR,EXPLICIT,1404026298,2014-05-25 22:12:18
Healthcare,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
Military,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
Media,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
America / USA,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
Politicians,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
The government,AGAINST,IMPLICIT,1443934031,2014-06-19 14:40:43
Christianity,FAVOR,EXPLICIT,1479816117,2014-07-11 01:39:30
Military,FAVOR,IMPLICIT,1479816117,2014-07-11 01:39:30
America / USA,FAVOR,IMPLICIT,1479816117,2014-07-11 01:39:30
Democrats,AGAINST,EXPLICIT,1479816117,2014-07-11 01:39:30
Christians,FAVOR,EXPLICIT,1479816117,2014-07-11 01:39:30
Conservatives,FAVOR,IMPLICIT,1479816117,2014-07-11 01:39:30
Liberals,AGAINST,EXPLICIT,1479816117,2014-07-11 01:39:30
Journalists,AGAINST,EXPLICIT,1412008102,2014-05-30 12:48:32
Politicians,AGAINST,EXPLICIT,1412008102,2014-05-30 12:48:32
Republicans (GOP),FAVOR,EXPLICIT,1433082005,2014-06-13 02:03:06
Barack Obama,AGAINST,EXPLICIT,1433082005,2014-06-13 02:03:06
Joe Biden,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
Democrats,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
Politicians,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
The government,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
Liberals,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
Progressives,AGAINST,EXPLICIT,1462666742,2014-07-01 01:28:35
Barack Obama,AGAINST,EXPLICIT,2082776121,2015-06-16 21:40:15
Sport,AGAINST,EXPLICIT,1575264870,2014-09-05 13:47:50
Gay / LGTBQ+,AGAINST,EXPLICIT,1575264870,2014-09-05 13:47:50
Hobbies,FAVOR,EXPLICIT,1556904608,2014-08-24 13:41:00
