target,stance,stance_type,comment_id,comment_date
Russia,AGAINST,EXPLICIT,3748142390,2018-02-08 04:46:36
Journalists,AGAINST,EXPLICIT,3748142390,2018-02-08 04:46:36
Socialism / Communism,AGAINST,EXPLICIT,3748142390,2018-02-08 04:46:36
Media,AGAINST,EXPLICIT,3748142390,2018-02-08 04:46:36
Police,FAVOR,EXPLICIT,4165873418,2018-10-27 18:52:05
Jews,FAVOR,EXPLICIT,4165873418,2018-10-27 18:52:05
Democrats,AGAINST,EXPLICIT,4165873418,2018-10-27 18:52:05
Politicians,AGAINST,EXPLICIT,4165873418,2018-10-27 18:52:05
Jobs are (available | good),FAVOR,EXPLICIT,3714487546,2018-01-18 18:35:21
Capitalism,FAVOR,IMPLICIT,3714487546,2018-01-18 18:35:21
Republicans (GOP),FAVOR,IMPLICIT,3714487546,2018-01-18 18:35:21
Elites,AGAINST,EXPLICIT,3714487546,2018-01-18 18:35:21
America / USA,FAVOR,EXPLICIT,3714487546,2018-01-18 18:35:21
Media,AGAINST,EXPLICIT,3714487546,2018-01-18 18:35:21
Economy is good,FAVOR,EXPLICIT,3714487546,2018-01-18 18:35:21
Conservatives,FAVOR,IMPLICIT,3714487546,2018-01-18 18:35:21
Donald Trump,FAVOR,EXPLICIT,3714487546,2018-01-18 18:35:21
Healthcare,AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
Republicans (GOP),AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
Elites,AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
Democrats,AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
Politicians,AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
The government,AGAINST,EXPLICIT,3183496179,2017-03-02 22:18:34
Politicians,AGAINST,EXPLICIT,4215464756,2018-11-28 06:41:57
The government,AGAINST,EXPLICIT,4215464756,2018-11-28 06:41:57
Journalists,AGAINST,EXPLICIT,4184347763,2018-11-08 06:04:39
Media,AGAINST,EXPLICIT,4184347763,2018-11-08 06:04:39
Donald Trump,FAVOR,EXPLICIT,4191135834,2018-11-12 14:51:59
Diversity,AGAINST,EXPLICIT,3774796308,2018-02-25 01:14:16
Woke,AGAINST,IMPLICIT,3774796308,2018-02-25 01:14:16
Sport,AGAINST,EXPLICIT,3774796308,2018-02-25 01:14:16
Conservatives,FAVOR,IMPLICIT,3774796308,2018-02-25 01:14:16
Feminism,AGAINST,IMPLICIT,3774796308,2018-02-25 01:14:16
Liberals,AGAINST,IMPLICIT,3774796308,2018-02-25 01:14:16
