target,stance,stance_type,comment_id,comment_date
Islam,AGAINST,EXPLICIT,2370377429,2015-11-20 17:59:41
Military,FAVOR,EXPLICIT,2411614695,2015-12-15 22:34:49
America / USA,FAVOR,EXPLICIT,2411614695,2015-12-15 22:34:49
Immigration / immigrants,FAVOR,EXPLICIT,2509046460,2016-02-11 23:50:28
America / USA,FAVOR,EXPLICIT,2509046460,2016-02-11 23:50:28
Politicians,AGAINST,EXPLICIT,2509046460,2016-02-11 23:50:28
The government,FAVOR,EXPLICIT,2509046460,2016-02-11 23:50:28
Donald Trump,FAVOR,EXPLICIT,2538169254,2016-02-26 18:22:24
America / USA,FAVOR,EXPLICIT,2460352809,2016-01-15 19:41:25
Elites,AGAINST,EXPLICIT,2381948353,2015-11-28 00:39:40
Politicians,AGAINST,EXPLICIT,2628606640,2016-04-17 18:06:56
The government,AGAINST,EXPLICIT,2628606640,2016-04-17 18:06:56
Social welfare,AGAINST,EXPLICIT,3019303266,2016-11-25 05:50:19
Healthcare,AGAINST,EXPLICIT,3019303266,2016-11-25 05:50:19
Drugs,AGAINST,EXPLICIT,3019303266,2016-11-25 05:50:19
Crime,AGAINST,EXPLICIT,3019303266,2016-11-25 05:50:19
Elites,AGAINST,IMPLICIT,2933103275,2016-10-04 17:30:56
Journalists,AGAINST,IMPLICIT,2933103275,2016-10-04 17:30:56
Hillary Clinton,AGAINST,EXPLICIT,2933103275,2016-10-04 17:30:56
Media,AGAINST,EXPLICIT,2933103275,2016-10-04 17:30:56
Democrats,AGAINST,IMPLICIT,2933103275,2016-10-04 17:30:56
Politicians,AGAINST,IMPLICIT,2933103275,2016-10-04 17:30:56
The government,AGAINST,EXPLICIT,2933103275,2016-10-04 17:30:56
Hillary Clinton,AGAINST,EXPLICIT,2770246147,2016-07-07 14:51:42
Police,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
Crime,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
America / USA,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
Politicians,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
The government,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
Liberals,AGAINST,EXPLICIT,2656880975,2016-05-04 01:26:17
Immigration / immigrants,FAVOR,EXPLICIT,2682960103,2016-05-18 21:59:13
Socialism / Communism,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Liberals,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Elites,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Journalists,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Hillary Clinton,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Barack Obama,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Democrats,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Politicians,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Media,AGAINST,EXPLICIT,2682960103,2016-05-18 21:59:13
Capitalism,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Fascism / Nazism,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Journalists,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Socialism / Communism,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
America / USA,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Media,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Barack Obama,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
Politicians,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
The government,AGAINST,EXPLICIT,2589805325,2016-03-26 04:28:01
America / USA,FAVOR,EXPLICIT,3025074317,2016-11-28 23:57:19
Social welfare,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
Healthcare,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
Drugs,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
Crime,AGAINST,IMPLICIT,3090540490,2017-01-09 14:12:40
Politicians,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
The government,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
Progressives,AGAINST,EXPLICIT,3090540490,2017-01-09 14:12:40
Media,FAVOR,EXPLICIT,2485880314,2016-01-30 01:11:42
Politicians,FAVOR,EXPLICIT,2485880314,2016-01-30 01:11:42
Fascism / Nazism,AGAINST,EXPLICIT,3108988744,2017-01-20 01:48:46
Elites,AGAINST,EXPLICIT,3108988744,2017-01-20 01:48:46
America / USA,FAVOR,EXPLICIT,3108988744,2017-01-20 01:48:46
Donald Trump,FAVOR,EXPLICIT,3108988744,2017-01-20 01:48:46
Journalists,AGAINST,EXPLICIT,3146790091,2017-02-09 22:36:12
Media,AGAINST,EXPLICIT,3146790091,2017-02-09 22:36:12
Israel,AGAINST,EXPLICIT,3068031465,2016-12-24 22:04:27
America / USA,AGAINST,EXPLICIT,3068031465,2016-12-24 22:04:27
Elites,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Journalists,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Hillary Clinton,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
America / USA,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Media,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Democrats,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Politicians,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
The government,AGAINST,EXPLICIT,2952241608,2016-10-15 19:55:45
Social welfare,AGAINST,EXPLICIT,3084773437,2017-01-05 20:06:51
Politicians,AGAINST,EXPLICIT,3084773437,2017-01-05 20:06:51
Elites,AGAINST,EXPLICIT,3084773437,2017-01-05 20:06:51
Republicans (GOP),FAVOR,EXPLICIT,2997586694,2016-11-11 20:19:33
Elites,AGAINST,EXPLICIT,2997586694,2016-11-11 20:19:33
Journalists,AGAINST,EXPLICIT,2997586694,2016-11-11 20:19:33
America / USA,FAVOR,EXPLICIT,2997586694,2016-11-11 20:19:33
Media,AGAINST,EXPLICIT,2997586694,2016-11-11 20:19:33
Democrats,AGAINST,EXPLICIT,2997586694,2016-11-11 20:19:33
Conservatives,FAVOR,EXPLICIT,2997586694,2016-11-11 20:19:33
Donald Trump,FAVOR,EXPLICIT,2997586694,2016-11-11 20:19:33
Liberals,AGAINST,EXPLICIT,2997586694,2016-11-11 20:19:33
Media,AGAINST,EXPLICIT,3167441332,2017-02-21 15:45:22
Donald Trump,AGAINST,EXPLICIT,3167441332,2017-02-21 15:45:22
Social welfare,AGAINST,EXPLICIT,3152676678,2017-02-13 16:48:49
Healthcare,AGAINST,EXPLICIT,3152676678,2017-02-13 16:48:49
Taxes are (good | fair),AGAINST,EXPLICIT,3152676678,2017-02-13 16:48:49
The government,AGAINST,EXPLICIT,3152676678,2017-02-13 16:48:49
Military,AGAINST,IMPLICIT,3148566797,2017-02-10 22:21:26
Fascism / Nazism,AGAINST,IMPLICIT,3111719674,2017-01-21 19:57:36
Elites,AGAINST,IMPLICIT,3111719674,2017-01-21 19:57:36
Journalists,AGAINST,EXPLICIT,3111719674,2017-01-21 19:57:36
Socialism / Communism,AGAINST,IMPLICIT,3111719674,2017-01-21 19:57:36
Media,AGAINST,EXPLICIT,3111719674,2017-01-21 19:57:36
Elites,AGAINST,EXPLICIT,3136372405,2017-02-03 21:18:53
Socialism / Communism,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Media,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Democrats,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Politicians,AGAINST,EXPLICIT,3136372405,2017-02-03 21:18:53
The government,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Liberals,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Progressives,AGAINST,IMPLICIT,3136372405,2017-02-03 21:18:53
Hillary Clinton,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
America / USA,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
Crime,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
Democrats,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
The government,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
Politicians,AGAINST,EXPLICIT,2968460411,2016-10-25 18:41:21
Terrorism,AGAINST,IMPLICIT,3219320559,2017-03-23 15:53:17
Israel,AGAINST,EXPLICIT,2694114461,2016-05-25 05:43:44
Barack Obama,AGAINST,EXPLICIT,2694114461,2016-05-25 05:43:44
Social welfare,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Taxes are (good | fair),AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Military,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Elites,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Crime,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Food,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
America / USA,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Economy is good,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Politicians,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
The government,AGAINST,EXPLICIT,3139557493,2017-02-06 02:05:28
Donald Trump,FAVOR,EXPLICIT,3175385962,2017-02-26 04:36:41
Elites,AGAINST,EXPLICIT,3010800408,2016-11-20 01:55:17
America / USA,FAVOR,EXPLICIT,3010800408,2016-11-20 01:55:17
Media,AGAINST,EXPLICIT,3010800408,2016-11-20 01:55:17
Democrats,AGAINST,EXPLICIT,3010800408,2016-11-20 01:55:17
Liberals,AGAINST,EXPLICIT,3010800408,2016-11-20 01:55:17
Progressives,AGAINST,EXPLICIT,3010800408,2016-11-20 01:55:17
Israel,AGAINST,EXPLICIT,3249593973,2017-04-10 20:21:54
Barack Obama,FAVOR,EXPLICIT,3249593973,2017-04-10 20:21:54
Journalists,AGAINST,EXPLICIT,2989924942,2016-11-07 21:32:01
Socialism / Communism,AGAINST,IMPLICIT,2989924942,2016-11-07 21:32:01
Media,AGAINST,EXPLICIT,2989924942,2016-11-07 21:32:01
Abortion,AGAINST,EXPLICIT,3211937783,2017-03-19 16:42:58
Fascism / Nazism,AGAINST,EXPLICIT,3160860531,2017-02-17 18:20:51
Military,AGAINST,EXPLICIT,3160860531,2017-02-17 18:20:51
Jews,AGAINST,EXPLICIT,3160860531,2017-02-17 18:20:51
The government,AGAINST,EXPLICIT,3160860531,2017-02-17 18:20:51
Terrorism,AGAINST,EXPLICIT,3160860531,2017-02-17 18:20:51
Russia,AGAINST,EXPLICIT,3185419667,2017-03-04 00:36:14
Crime,AGAINST,EXPLICIT,3185419667,2017-03-04 00:36:14
Politicians,AGAINST,EXPLICIT,3185419667,2017-03-04 00:36:14
The government,AGAINST,EXPLICIT,3185419667,2017-03-04 00:36:14
Journalists,AGAINST,EXPLICIT,2453996110,2016-01-12 19:41:06
Hillary Clinton,AGAINST,EXPLICIT,2453996110,2016-01-12 19:41:06
Media,AGAINST,EXPLICIT,2453996110,2016-01-12 19:41:06
Democrats,AGAINST,EXPLICIT,2453996110,2016-01-12 19:41:06
Donald Trump,FAVOR,EXPLICIT,2453996110,2016-01-12 19:41:06
Social welfare,FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
Jobs are (available | good),FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
Immigration / immigrants,FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
Diversity,FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
America / USA,FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
Economy is good,FAVOR,EXPLICIT,3290859727,2017-05-05 23:08:09
Immigration / immigrants,AGAINST,EXPLICIT,2722084740,2016-06-09 19:21:37
Crime,AGAINST,EXPLICIT,2722084740,2016-06-09 19:21:37
Hillary Clinton,AGAINST,EXPLICIT,2722084740,2016-06-09 19:21:37
America / USA,AGAINST,EXPLICIT,2722084740,2016-06-09 19:21:37
Elites,AGAINST,EXPLICIT,3207217751,2017-03-16 14:56:41
Journalists,AGAINST,EXPLICIT,3207217751,2017-03-16 14:56:41
Hillary Clinton,AGAINST,EXPLICIT,3207217751,2017-03-16 14:56:41
Media,AGAINST,EXPLICIT,3207217751,2017-03-16 14:56:41
Democrats,AGAINST,IMPLICIT,3207217751,2017-03-16 14:56:41
Social media,AGAINST,EXPLICIT,3207217751,2017-03-16 14:56:41
Liberals,AGAINST,IMPLICIT,3207217751,2017-03-16 14:56:41
Fascism / Nazism,AGAINST,EXPLICIT,3202438164,2017-03-13 20:02:49
Socialism / Communism,AGAINST,EXPLICIT,3202438164,2017-03-13 20:02:49
