target,stance,stance_type,comment_id,comment_date
Liberals,FAVOR,EXPLICIT,1903262480,2015-03-12 14:20:18
Media,FAVOR,EXPLICIT,1903262480,2015-03-12 14:20:18
Taxes are (good | fair),AGAINST,EXPLICIT,1975679309,2015-04-19 13:45:33
The government,AGAINST,EXPLICIT,1975679309,2015-04-19 13:45:33
Crime,AGAINST,EXPLICIT,1975679309,2015-04-19 13:45:33
America / USA,FAVOR,EXPLICIT,1914537158,2015-03-18 19:41:21
America / USA,FAVOR,EXPLICIT,1916425133,2015-03-19 16:32:52
The government,FAVOR,EXPLICIT,1916425133,2015-03-19 16:32:52
Immigration / immigrants,AGAINST,EXPLICIT,1916425133,2015-03-19 16:32:52
Democrats,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Progressives,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Liberals,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
America / USA,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Politicians,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
The government,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Diversity,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Immigration / immigrants,AGAINST,EXPLICIT,1928288503,2015-03-25 23:13:28
Progressives,AGAINST,EXPLICIT,1918702900,2015-03-20 19:58:49
Liberals,AGAINST,EXPLICIT,1918702900,2015-03-20 19:58:49
Barack Obama,AGAINST,EXPLICIT,1918702900,2015-03-20 19:58:49
Politicians,AGAINST,EXPLICIT,1918702900,2015-03-20 19:58:49
Democrats,AGAINST,EXPLICIT,1916780654,2015-03-19 18:45:47
Politicians,AGAINST,IMPLICIT,1916780654,2015-03-19 18:45:47
Media,AGAINST,EXPLICIT,1982149701,2015-04-22 21:49:08
Liberals,AGAINST,EXPLICIT,1981373275,2015-04-22 15:08:06
Muslims,AGAINST,EXPLICIT,1977221830,2015-04-20 11:52:02
Islam,AGAINST,EXPLICIT,1977221830,2015-04-20 11:52:02
Socialism / Communism,AGAINST,EXPLICIT,1987759212,2015-04-26 02:31:13
