target,stance,stance_type,comment_id,comment_date
Abortion,AGAINST,EXPLICIT,804923004,2013-02-19 23:55:04
The government,AGAINST,EXPLICIT,816965773,2013-03-01 23:14:01
The government,AGAINST,EXPLICIT,991853070,2013-08-07 19:37:03
Crime,AGAINST,EXPLICIT,991853070,2013-08-07 19:37:03
Politicians,AGAINST,EXPLICIT,991853070,2013-08-07 19:37:03
Gay / LGTBQ+,FAVOR,EXPLICIT,907240231,2013-05-24 19:18:47
Scientists,FAVOR,EXPLICIT,907240231,2013-05-24 19:18:47
Diversity,FAVOR,EXPLICIT,907240231,2013-05-24 19:18:47
Climate change is (real | a problem),FAVOR,EXPLICIT,978623338,2013-07-27 20:51:00
Fossil fuels,AGAINST,EXPLICIT,978623338,2013-07-27 20:51:00
Capitalism,AGAINST,EXPLICIT,978623338,2013-07-27 20:51:00
Abortion,AGAINST,EXPLICIT,976138563,2013-07-25 17:56:56
America / USA,AGAINST,EXPLICIT,993655443,2013-08-08 21:41:15
Fossil fuels,AGAINST,EXPLICIT,993655443,2013-08-08 21:41:15
Jobs are (available | good),AGAINST,EXPLICIT,993655443,2013-08-08 21:41:15
Christians,AGAINST,EXPLICIT,951977571,2013-07-04 18:01:05
Christianity,AGAINST,EXPLICIT,951977571,2013-07-04 18:01:05
The government,FAVOR,EXPLICIT,1004952740,2013-08-17 19:07:23
America / USA,FAVOR,EXPLICIT,1004952740,2013-08-17 19:07:23
Feminism,FAVOR,IMPLICIT,1004952740,2013-08-17 19:07:23
Liberals,FAVOR,IMPLICIT,1004952740,2013-08-17 19:07:23
Progressives,FAVOR,EXPLICIT,1004952740,2013-08-17 19:07:23
Gay / LGTBQ+,FAVOR,EXPLICIT,1004952740,2013-08-17 19:07:23
Woke,FAVOR,IMPLICIT,1004952740,2013-08-17 19:07:23
Democrats,FAVOR,IMPLICIT,1004952740,2013-08-17 19:07:23
Conservatives,AGAINST,IMPLICIT,1004952740,2013-08-17 19:07:23
Diversity,FAVOR,EXPLICIT,1004952740,2013-08-17 19:07:23
Republicans (GOP),AGAINST,IMPLICIT,1004952740,2013-08-17 19:07:23
Gay / LGTBQ+,FAVOR,EXPLICIT,1008312172,2013-08-20 18:14:04
Conservatives,AGAINST,IMPLICIT,1008312172,2013-08-20 18:14:04
Diversity,FAVOR,IMPLICIT,1008312172,2013-08-20 18:14:04
Social welfare,AGAINST,EXPLICIT,1053048701,2013-09-20 17:30:59
Crime,AGAINST,EXPLICIT,874670546,2013-04-24 21:31:01
Liberals,AGAINST,IMPLICIT,874670546,2013-04-24 21:31:01
Progressives,AGAINST,IMPLICIT,874670546,2013-04-24 21:31:01
Democrats,AGAINST,IMPLICIT,874670546,2013-04-24 21:31:01
Gay / LGTBQ+,AGAINST,IMPLICIT,1004974529,2013-08-17 19:28:29
Diversity,AGAINST,IMPLICIT,1004974529,2013-08-17 19:28:29
Media,AGAINST,IMPLICIT,1004974529,2013-08-17 19:28:29
Politicians,AGAINST,IMPLICIT,960101311,2013-07-12 17:41:24
Elites,AGAINST,IMPLICIT,960101311,2013-07-12 17:41:24
The government,AGAINST,EXPLICIT,995731586,2013-08-10 18:27:00
The government,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
America / USA,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Crime,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Feminism,FAVOR,EXPLICIT,797058457,2013-02-12 22:42:09
Politicians,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Social welfare,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Conservatives,AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Diversity,FAVOR,EXPLICIT,797058457,2013-02-12 22:42:09
Republicans (GOP),AGAINST,EXPLICIT,797058457,2013-02-12 22:42:09
Liberals,AGAINST,EXPLICIT,1006945473,2013-08-19 19:59:36
White people,AGAINST,EXPLICIT,1006945473,2013-08-19 19:59:36
Democrats,AGAINST,EXPLICIT,1006945473,2013-08-19 19:59:36
Conservatives,AGAINST,EXPLICIT,1006945473,2013-08-19 19:59:36
Republicans (GOP),AGAINST,EXPLICIT,1006945473,2013-08-19 19:59:36
Christians,FAVOR,EXPLICIT,1039104695,2013-09-11 22:37:08
The government,AGAINST,EXPLICIT,990671298,2013-08-06 20:18:07
Socialism / Communism,AGAINST,EXPLICIT,990671298,2013-08-06 20:18:07
Abortion,AGAINST,EXPLICIT,990671298,2013-08-06 20:18:07
America / USA,AGAINST,EXPLICIT,1047161575,2013-09-16 20:46:52
Fossil fuels,AGAINST,EXPLICIT,1047161575,2013-09-16 20:46:52
Economy is good,AGAINST,EXPLICIT,1047161575,2013-09-16 20:46:52
Capitalism,AGAINST,EXPLICIT,1047161575,2013-09-16 20:46:52
Politicians,AGAINST,IMPLICIT,857736478,2013-04-09 16:54:38
Elites,AGAINST,IMPLICIT,857736478,2013-04-09 16:54:38
Capitalism,AGAINST,IMPLICIT,857736478,2013-04-09 16:54:38
The government,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
America / USA,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Socialism / Communism,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Liberals,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Progressives,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Social welfare,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Democrats,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Conservatives,AGAINST,EXPLICIT,1003933958,2013-08-16 17:40:33
Taxes are (good | fair),FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Healthcare,FAVOR,EXPLICIT,1003933958,2013-08-16 17:40:33
Capitalism,AGAINST,EXPLICIT,1003933958,2013-08-16 17:40:33
Republicans (GOP),AGAINST,EXPLICIT,1003933958,2013-08-16 17:40:33
Crime,AGAINST,EXPLICIT,966048316,2013-07-17 19:14:02
Politicians,FAVOR,EXPLICIT,822091833,2013-03-07 17:20:59
Elites,FAVOR,EXPLICIT,822091833,2013-03-07 17:20:59
Military,FAVOR,EXPLICIT,822091833,2013-03-07 17:20:59
Republicans (GOP),FAVOR,EXPLICIT,822091833,2013-03-07 17:20:59
Politicians,AGAINST,EXPLICIT,1066348943,2013-10-01 19:12:10
Conservatives,AGAINST,EXPLICIT,1066348943,2013-10-01 19:12:10
Healthcare,AGAINST,EXPLICIT,1066348943,2013-10-01 19:12:10
Republicans (GOP),AGAINST,EXPLICIT,1066348943,2013-10-01 19:12:10
The government,AGAINST,EXPLICIT,779923068,2013-01-27 19:05:25
Abortion,FAVOR,EXPLICIT,973679845,2013-07-23 18:13:02
Media,AGAINST,IMPLICIT,768952591,2013-01-15 18:25:25
The government,AGAINST,EXPLICIT,976074238,2013-07-25 17:06:45
America / USA,AGAINST,EXPLICIT,976074238,2013-07-25 17:06:45
Politicians,AGAINST,EXPLICIT,976074238,2013-07-25 17:06:45
Conservatives,AGAINST,EXPLICIT,976074238,2013-07-25 17:06:45
Republicans (GOP),AGAINST,EXPLICIT,976074238,2013-07-25 17:06:45
Christians,AGAINST,EXPLICIT,946532120,2013-06-29 19:50:14
Christianity,AGAINST,EXPLICIT,946532120,2013-06-29 19:50:14
Republicans (GOP),AGAINST,EXPLICIT,861059987,2013-04-12 16:35:59
Social welfare,AGAINST,EXPLICIT,1053101805,2013-09-20 18:09:52
Diversity,AGAINST,EXPLICIT,1053101805,2013-09-20 18:09:52
Immigration / immigrants,AGAINST,EXPLICIT,1053101805,2013-09-20 18:09:52
The government,AGAINST,EXPLICIT,1003998117,2013-08-16 18:41:08
America / USA,AGAINST,IMPLICIT,1003998117,2013-08-16 18:41:08
Politicians,AGAINST,IMPLICIT,1003998117,2013-08-16 18:41:08
Social welfare,FAVOR,EXPLICIT,1003998117,2013-08-16 18:41:08
Conservatives,AGAINST,IMPLICIT,1003998117,2013-08-16 18:41:08
Food,FAVOR,EXPLICIT,1003998117,2013-08-16 18:41:08
